,Date ,Time In ,Time Out ,Details ,id,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
5,3/17/17,8:52a. ,902,,MON2_SI_01_table_Page_145,,,,,
6,13/17 ,10:00,10:20,,MON2_SI_01_table_Page_145,,,,,
7,20-Mar,10:16,10:20,,MON2_SI_01_table_Page_145,,,,,
8,20-Mar,1:21,1:38,,MON2_SI_01_table_Page_145,,,,,
9,20-Mar,1:41,1:44,1,MON2_SI_01_table_Page_145,,,,,
10,20-Mar,1:45,2:00,,MON2_SI_01_table_Page_145,,,,,
11,13/21 ,9:18,9:36,,MON2_SI_01_table_Page_145,,,,,
12,21-Mar,9:52,10:05,,MON2_SI_01_table_Page_145,,,,,
13,21-Mar,1015,10:35,Adult ,MON2_SI_01_table_Page_145,,,,,
14,21-Mar,1205,1217,Student ,MON2_SI_01_table_Page_145,,,,,
15,21-Mar,1221,12:46,,MON2_SI_01_table_Page_145,,,,,
16,21-Mar,208,2116,student ,MON2_SI_01_table_Page_145,,,,,
0,1/10/19,2:15,2.22,spray water	 heads on staff,MON2_SI_01_table_Page_137,,,,, 
1,1/10/17,10:00,10:08,Adult ,MON2_SI_01_table_Page_137,,,,,
2,1/10/17,10:54,,,MON2_SI_01_table_Page_137,,,,,
3,1/12/17,8:50,9,Kiching challs ,MON2_SI_01_table_Page_137,,,,,
4,1/13/14,8:59,9:02,,MON2_SI_01_table_Page_137,,,,,
5,1/13/17,9:40,9:50,,MON2_SI_01_table_Page_137,,,,,
6,the ,10:10,10.13,,MON2_SI_01_table_Page_137,,,,,
7,1/13/12,10:15,10:25,,MON2_SI_01_table_Page_137,,,,,
8,1/13/17,12:12,,,MON2_SI_01_table_Page_137,,,,,
9,1/17/17,8:45AM ,900,Hettan staff ,MON2_SI_01_table_Page_137,,,,,
10,,10:11am ,1030,Adult ,MON2_SI_01_table_Page_137,,,,,
11,7/1) ,toge ,2:05,,MON2_SI_01_table_Page_137,,,,,
12,1/18/17,8.5,9:10,Adult ,MON2_SI_01_table_Page_137,,,,,
13,1/18/17,9:20am ,9:37,tippingchans,MON2_SI_01_table_Page_137,,,,,
14,24/14/17 ,11:37,11:48,,MON2_SI_01_table_Page_137,,,,,
15,1/18/17,2:05,,Adult ,MON2_SI_01_table_Page_137,,,,,
16,1/18/17,8:32,,,MON2_SI_01_table_Page_137,,,,,
0,10/20/16,2:45,2:56,,MON2_SI_01_table_Page_127,,,,,
1,31-Oct,8:48,9:00,In add ti in be Pail ,MON2_SI_01_table_Page_127,,,,,
2,21-Dec,9:22,9:05,,MON2_SI_01_table_Page_127,,,,,
3,19/31 ,9.38,9:44,Adult ,MON2_SI_01_table_Page_127,,,,,
4,Oct-71,9152,10%5 ,,MON2_SI_01_table_Page_127,,,,,
5,,12:02,12 16 ,Advit ,MON2_SI_01_table_Page_127,,,,,
6,15/21 ,,,,MON2_SI_01_table_Page_127,,,,,
7,15/ ,8:40,9:05,Hiting student ,MON2_SI_01_table_Page_127,,,,,
8,24-Oct,10:20,10:40,,MON2_SI_01_table_Page_127,,,,,
9,24-Oct,11,12:30,,MON2_SI_01_table_Page_127,,,,,
10,10/By ,1:30,1:48,Kickiy ,MON2_SI_01_table_Page_127,,,,,
11,24-Oct,lill ,1.25,swatting start ,MON2_SI_01_table_Page_127,swatting start ,,,,
12,25-Oct,9:35,945,riting ,MON2_SI_01_table_Page_127,,,,,
13,25-Oct,11:46,11:53,,MON2_SI_01_table_Page_127,,,,,
14,26-Oct,10:35,10:50,hitting theory ,MON2_SI_01_table_Page_127,hitting theory ,,,,
15,25-Oct,Oct-57,11:08,,MON2_SI_01_table_Page_127,,,,,
16,25-Oct,11:29,,hitting - ,MON2_SI_01_table_Page_127,,,,,
0,23-Dec,1130,1150,,MON2_SI_01_table_Page_135,,,,,
1,1/3/17,9.22,9:26,Adult ,MON2_SI_01_table_Page_135,,,,,
2,1/3/17,9:30,,,MON2_SI_01_table_Page_135,,,,,
3,1/4/17,10:12,10:14,,MON2_SI_01_table_Page_135,,,,,
4,1/4/17,11:32,,Adult ,MON2_SI_01_table_Page_135,,,,,
5,11.17,1.17,,,MON2_SI_01_table_Page_135,,,,,
6,1/4/17,1:40,1:35,,MON2_SI_01_table_Page_135,,,,,
7,1/4/15,9:20,9:40,A-Putt ,MON2_SI_01_table_Page_135,,,,,
8,1/4/17,10:56,11:04,hitting staff,MON2_SI_01_table_Page_135,,,,,
9,1/5/17,12:45,12:49,,MON2_SI_01_table_Page_135,,,,,
10,146117,1000,9:35,Is ,MON2_SI_01_table_Page_135,,,,,
11,16113,1251,1:21,,MON2_SI_01_table_Page_135,,,,,
12,1/9/17,9:34,9:50,,MON2_SI_01_table_Page_135,,,,,
13,1/9/17,10:00,10:30,Adult,MON2_SI_01_table_Page_135, ,,,,
14,1/14/13,10:30,11:00,,MON2_SI_01_table_Page_135,,,,,
15,1/10/17,9:20,9:48,,MON2_SI_01_table_Page_135,,,,,
16,1/16/17,11:00,,,MON2_SI_01_table_Page_135,,,,,
0,2-Jan,9:30,10:00,kicking ,MON2_SI_01_table_Page_147,,,,,
1,12,12:00,12:30,kicking ,MON2_SI_01_table_Page_147,,,,,
2,8412,1:45,2:15,kicking ,MON2_SI_01_table_Page_147,,,,,
3,13-Apr,9:45,0.660416667,,MON2_SI_01_table_Page_147,,,,,
4,13-Apr,1015,10:24,,MON2_SI_01_table_Page_147,,,,,
5,13-Apr,,,,MON2_SI_01_table_Page_147,,,,,
6,13-Apr,10:53,11:14,Adult ,MON2_SI_01_table_Page_147,,,,,
7,14/13 ,12:53,Lilo ,,MON2_SI_01_table_Page_147,,,,,
8,24-Apr,9:20,9:28,Adult ,MON2_SI_01_table_Page_147,,,,,
9,24-Apr,lips ,11:22a ,,MON2_SI_01_table_Page_147,,,,,
10,24-Apr,11154,12:05,,MON2_SI_01_table_Page_147,,,,,
11,425,8:45,9:15,,MON2_SI_01_table_Page_147,,,,,
12,4125,10:08,10R ,,MON2_SI_01_table_Page_147,,,,,
13,4/25 5/12 ,2:10 839 ,2:18,knowlerger orn Chris thatting  ,MON2_SI_01_table_Page_147,,,,,
0,18-Nov,10:00,10:10am ,Adult ,MON2_SI_01_table_Page_134,,,,,
1,18-Nov,10:15,,Augh ,MON2_SI_01_table_Page_134,,,,,
2,18-Nov,11:37,,in a hold ompergent ,MON2_SI_01_table_Page_134,,,,,
3,15-Nov,2-Jan,11:30,,MON2_SI_01_table_Page_134,,,,,
4,18-Nov,11:35,1/4/41,,MON2_SI_01_table_Page_134,,,,,
5,Nov-48,11:48,12:05, ,MON2_SI_01_table_Page_134,,,,,
6,21-Nov,8:47,8:56,,MON2_SI_01_table_Page_134,,,,,
7,21-Nov,9:30,9:40,,MON2_SI_01_table_Page_134,,,,,
8,21-Nov,11:15,11:30,,MON2_SI_01_table_Page_134,,,,,
9,21-Nov,12:20,12:24,,MON2_SI_01_table_Page_134,,,,,
10,21-Nov,12:40,12:46,,MON2_SI_01_table_Page_134,,,,,
11,1/2/ ,1:45,2:10,- ,MON2_SI_01_table_Page_134,,,,,
12,,2:14,2:18p ,,MON2_SI_01_table_Page_134,,,,,
13,23-Nov,11:48,,,MON2_SI_01_table_Page_134,,,,,
14,23-Nov,12:05,12:20,student ,MON2_SI_01_table_Page_134,,,,,
15,28-Nov,10:56,11:22,,MON2_SI_01_table_Page_134,,,,,
16,28-Nov,11:23,11:30,TO ARVA the 1 very ,MON2_SI_01_table_Page_134,,,,,
