,Date ,Time In ,Time Out ,Details ,id,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,10/31/10,9:00,9,Screaming destruction ,MON2_SI_01_table_Page_130,,,,,
1,,US ,13r ,Screamina Kisiness ,MON2_SI_01_table_Page_130,,,,,
2,11/2/,8:45,8:52,,MON2_SI_01_table_Page_130,,,,,
3,10/3/16,12:54,1258,,MON2_SI_01_table_Page_130,,,,,
4,11/2/16,12:00,12.1,Addition ,MON2_SI_01_table_Page_130,,,,,
5,11/17/16,1810,1:34,Adult ,MON2_SI_01_table_Page_130,,,,,
6,,9:35,,,MON2_SI_01_table_Page_130,,,,,
7,I ,1:30,1:45,screaming therring ,MON2_SI_01_table_Page_130,,,,,
8,,149,2100,,MON2_SI_01_table_Page_130,,,,,
9,4-Nov,200,,,MON2_SI_01_table_Page_130,,,,,
10,H/7 ,9:38,10:05,,MON2_SI_01_table_Page_130,,,,,
11,118,8:40,9:15,,MON2_SI_01_table_Page_130,,,,,
12,11/E ,11.1,11.4,,MON2_SI_01_table_Page_130,,,,,
13,8-Nov,R2 ,1:44,,MON2_SI_01_table_Page_130,,,,,
14,we ,920,9:45,,MON2_SI_01_table_Page_130,,,,,
15,8-Nov,,2.05,throwing gunning ,MON2_SI_01_table_Page_130,,,,,
16,9-Nov,8:45,9.1,pushed MISW ,MON2_SI_01_table_Page_130,,,,,
0,22-May,908,9:14,,MON2_SI_01_table_Page_152,,,,,
1,22-May,9:14,9:18,,MON2_SI_01_table_Page_152,,,,,
2,15/22 ,4:30,9.4,,MON2_SI_01_table_Page_152,,,,,
3,,1::10 ,11:17,,MON2_SI_01_table_Page_152,,,,,
4,,9:10,9:27,SC ,MON2_SI_01_table_Page_152,,,,,
5,23-May,10:49,11:06,,MON2_SI_01_table_Page_152,,,,,
6,24-May,10:45,10:52,,MON2_SI_01_table_Page_152,,,,,
7,3/7/ ,9:56,Bill ,,MON2_SI_01_table_Page_152,,,,,
8,,,,,MON2_SI_01_table_Page_152,,,,,
9,11  1/5 ,9:15,2.14,Adult ,MON2_SI_01_table_Page_152,,,,,
10,5125,10:03, ,,MON2_SI_01_table_Page_152,,,,,
11,Y/PS ,11.15,451,,MON2_SI_01_table_Page_152,,,,,
12,15/35 ,11.55,12.5,,MON2_SI_01_table_Page_152,,,,,
13,25-Mar,I:LC ,,,MON2_SI_01_table_Page_152,,,,,
14,2-Mar,,12:43,,MON2_SI_01_table_Page_152,,,,,
15,PLATE ,2:11,318,,MON2_SI_01_table_Page_152,,,,,
16,15-May,2:20,2:38,,MON2_SI_01_table_Page_152,,,,,
0,3/1/17,1210,12:16,,MON2_SI_01_table_Page_142,,,,,
1,3/1/17,12:16,12:26,I ,MON2_SI_01_table_Page_142,,,,,
2,2-Mar,,,,MON2_SI_01_table_Page_142,,,,,
3,2-Mar,,,,MON2_SI_01_table_Page_142,,,,,
4,2-Mar,,,,MON2_SI_01_table_Page_142,,,,,
5,312,1115,,,MON2_SI_01_table_Page_142,,,,,
6,3-Mar,9:35am ,9.55,ran + hid ,MON2_SI_01_table_Page_142,,,,,
7,3-Mar,11:Ra ,11:15am ,,MON2_SI_01_table_Page_142,,,,,
8,3/6/17,12:05 PM,12:15pm Little ,,MON2_SI_01_table_Page_142,,,,,
9,6-Mar,1:45,2:05,,MON2_SI_01_table_Page_142,,,,,
10,7-Mar,9:40,9:58,,MON2_SI_01_table_Page_142,,,,,
11,2-Mar,10:00,10:2C ,,MON2_SI_01_table_Page_142,,,,,
12,7-Mar,12:40,12:56,student ,MON2_SI_01_table_Page_142,,,,,
13,8-Mar,10:00,10:10,,MON2_SI_01_table_Page_142,,,,,
14,8-Mar,9:45,9:50,,MON2_SI_01_table_Page_142,,,,,
15,8-Mar,10:56,11:18,,MON2_SI_01_table_Page_142,,,,,
16,13/13/17 ,10:46,10:56,,MON2_SI_01_table_Page_142,,,,,
0,10/17/16,9:30 And ,4:50AN ,Physicalagrosion ,MON2_SI_01_table_Page_129,,,,,
1,10/7/16,12:20pm ,1:05pm ,Physical aggression ,MON2_SI_01_table_Page_129,,,,,
2,10/1/16,1:31,,Pryscal aggicsion ,MON2_SI_01_table_Page_129,,,,,
3,17-Oct,1:35,1:36,not been Safe,MON2_SI_01_table_Page_129,,,,,
