Date ,Time In ,Time Out ,Details 
8-May,11:00,11.25,Hittery staff many 
8-May,1:0pam ,1:099 ,
$/9 ,9:26a ,9.43,Adult 
9-May,9:30,9:41,Hittery and 
,,,Kickig 
9-May,1.26,1:37,
10-May,8:47,8.56,
19-May,12:4c ,1257,Adult
10-May,1.55p ,2:09,Adult 
2111,8156,9:11,biting a student 
11-May,924,9:37,Adult 
11-May,10,30,hitstaff 
5111,1:14,1:22,hit Start 
12-May,8:39,9:09,Adult 
<1.2 ,ait ,945,peer 
12-May,11.45,18.15,
12-May,2:00,2:20,Hit Peer with 
