Date ,Time In ,Time Out ,Details 
22-May,908,9:14,
22-May,9:14,9:18,
15/22 ,4:30,9.4,
,1::10 ,11:17,
,9:10,9:27,SC 
23-May,10:49,11:06,
24-May,10:45,10:52,
3/7/ ,9:56,Bill ,
,,,
11  1/5 ,9:15,2.14,Adult 
5125,10:03, ,
Y/PS ,11.15,451,
15/35 ,11.55,12.5,
25-Mar,I:LC ,,
2-Mar,,12:43,
PLATE ,2:11,318,
15-May,2:20,2:38,
