Date ,Time In ,Time Out ,Details 
19-Jan,2:30,2:43,Kicking staff 
19-Jan,10:35,10:48,
20-Jan,1:53,2:15,
24-Jan,10:43,10:56,
24-Jan,11:40,12:00,hithing. backing staff 
24-Jan,12:50,1:20,yelling hittory 
25-Jan,12:29,12:56,walking out at lunch 
27-Jan,8.4,8:56,
1/27/17,9:05,9:20,rult 
1/27/19,9.47,10:10,throwing chairs 
1/27/10,12:38,12:56,that starr ! Kinnd state 
1/27/19,2:00,2:20,
1/21/17,9:27,9:39,
30-Jan,11:26,11:51,
30-Jan,12:34,12:41,crowling Tasles
