Date ,Time In ,Time Out ,Details 
10/31/10,9:00,9,Screaming destruction 
,US ,13r ,Screamina Kisiness 
11/2/,8:45,8:52,
10/3/16,12:54,1258,
11/2/16,12:00,12.1,Addition 
11/17/16,1810,1:34,Adult 
,9:35,,
I ,1:30,1:45,screaming therring 
,149,2100,
4-Nov,200,,
H/7 ,9:38,10:05,
118,8:40,9:15,
11/E ,11.1,11.4,
8-Nov,R2 ,1:44,
we ,920,9:45,
8-Nov,,2.05,throwing gunning 
9-Nov,8:45,9.1,pushed MISW 
