Date ,Time In ,Time Out ,Details 
28-Apr,10:11,10:40,
28-Apr,11:05,11:09,
1-May,9:23,9.31,
1-May,9:32,9.53,
1-May,11:04,11:06,
1-Mar,12:12,12:35,
2-May,10:53,11:00,
5/4/17,10:32,10:46,
5/1/15,10:59,11:15,
,,,
5/4/17,12:08,12:22,
2017,1:34,0.213888889,
,12:30/2:00 ,12:30,Small child 
5-May,12:52,1:05,Throwing Chairs 
8-May,9.45,9:22,
,10:09,10:15,
8-May,10:19,10:24,Kiking Staff as they 
