Date ,Time In ,Time Out ,Details 
11/9/18,8:30,,[un much larre 
11/9/06,9.49,10.1,throwing running 
,11:35,,thrownychariting 
11/9/66,33,1:06,
11/9/16,1:40,1:46,
411,8:36,,
11110,9.05,10.2,throwing chairs working Hitty stall runing to 
14-Nov,8:47,9:05,Adult 
14-Nov,9:35,9:55,
14-Nov,10:15,16.4,
14-Nov,11:02,0:24,
14-Nov,11:38,11.5,
,12:10,12:30,
,,,
13-Nov,,,
