Date ,Time In ,Time Out ,Details 
12/15/19,11:31,11:50,
15-Dec,,1:26,
18-Dec,1:27,1:40,
16-Dec,10:15,10:30,
16-Dec,9:30,9:35,
16-Dec,9:40,9:48,
16-Dec,10:40,10:50,
16-Dec,11:52,12:17,
16-Dec,12:22,12:38,
19-Dec,9:31,4:45,
19-Dec,10.8,10:24,
19-Dec,10.25,,
19-Dec,10:34,10:55,
19-Dec,10:56,1108,
13/19 ,10:33,11:01,
19-Dec,,,
19-Dec,12:53,,
