Date ,Time In ,Time Out ,Details 
5126,8:45,8:55,HiHing staff 
26-May,9:10,9:15,
16-May,12:12,12:26,wanted to yelland 
26-May,1:32,139,
330,9:48,9.59,
30-May,10:06,10:15,
5130,10:05,11:30,Kelem 
30-May,11:45,1215,
5130,1940,1:47,
31-May,2:25,2:38,Kicking 
61,8:35,0.395833333,biding ran away 
1-Jun,9:18,9:31,trying to Dight 
6/5/17,8:58,9:01,Student 
6/5/16,9:45,10:05,
6697,8.56,908,
6/6/07,1:39,1:53,
6/7/17,834,9:00,
