Date ,Time In ,Time Out ,Details 
2.14.17 ,837,,climb ondest throw thands 
2-1407 ,,,
214-17 ,11:30,11:44,
2/14/17,1:34,1:46,
2/14/ ,1:46,1:56,Hitting Kicking 
2/16/17,9:46,10:04,
2/16/17,10.05p ,10:20am ,Foul language 
2/16/19,10:28,10:45,
,10:5p ,11:11,
2116,11:03,11:17,
17-Feb,935,9:44,
17-Feb,10:08,10.17,
17-Feb,11131,11:22,In a rage hit Student 
2/M ,1:15,1:23,adult 
227,2:41,2:58,
28-Feb,8:40,8:50,idylt 
28-Feb,1%,1:43,
