Date ,Time In ,Time Out ,Details 
10/17/16,9:30 And ,4:50AN ,Physicalagrosion 
10/7/16,12:20pm ,1:05pm ,Physical aggression 
10/1/16,1:31,,Pryscal aggicsion 
17-Oct,1:35,1:36,not been Safe
15/0 ,1:40,1:55,to bights lpa 
78/12 ,2:34,2:45,runight 
10/15/12,11:43,11:54,Adult 
10/18/16,12:39,12:59,RE 
,1:38,1:00,Physically hit ZX
10/19/14,8:35,8:46,
10/19/06,10:13,10:40,Aliff 
10/19/16,12:53,,
,$:34 ,8:50,
17/30 ,9:37,,
Oct-00,10:28,,
20-Oct,12:04, ,
20-Oct,12:19,,
