Date ,Time In ,Time Out ,Details 
6/7/17,9:04,9.12,
6/7/17,9:15,9:45,
6/7/12,11:50,12:03,
6/7/17, ,12:04,
6 5 ,1:07,1:17,
6/5/18,2:34,2.11,
6/9/17,10:41,11.1,Hitting 
d/d ,1.10gm ,1:25,
9-Jun,128,1.41,Hitting Student 
619,1:42,1:55,HiHing Teacher 
618,2:07,2018,
,19:34,10:32,
,36,1831,
6/12/17,1256,1:06,Aduft 
6/12/17,1:54,2.13,
6/14/18,10:05,10:40,
