Date ,Time In ,Time Out ,Details ,
23-Dec,1130,1150,,
1/3/17,9.22,9:26,Adult ,
1/3/17,9:30,,,
1/4/17,10:12,10:14,,
1/4/17,11:32,,Adult ,
11.17,1.17,,,
1/4/17,1:40,1:35,,
1/4/15,9:20,9:40,A-Putt ,
1/4/17,10:56,11:04,hitting staff,
1/5/17,12:45,12:49,,
146117,1000,9:35,Is ,
16113,1251,1:21,,
1/9/17,9:34,9:50,,
1/9/17,10:00,10:30,Adult, 
1/14/13,10:30,11:00,,
1/10/17,9:20,9:48,,
1/16/17,11:00,,,
