Date ,Time In ,Time Out ,Details 
2/8/17,9.05a.m ,9:25am ,Adult 
2/8/17,11:18,11448,Hitt slea 
2/8/17,12:40,12.54,s somealty 
2/9/17,9:10,9.7,H.Hing 
2/9/17,9:45,10:15,yelling 
2/9/17,11:50,12:05,
2/9/17,12:50,1:05,
2/9/17,1025,1.3,
2/10/17,9:1aa ,9:40,hitting adults yellowge 
2/10/17,10:52,11:03,
240117,1150,2:10,Adult 
2/10/17,11:29,11:34,"Du "" Atwosted Staff "
2/10/17,2:28,234,pushing Unite stafi 
Zioln ,215,225,
2/13/17,8:30,8:50,
2/13/17,10:00am ,10:13,
12/13/17,1:55,2:09,
