Date ,Time In ,Time Out ,Details 
11/2k ,11:48,12:14,Adyltg 
28-Nov,2:50,3.04,
29-Nov,9:24,9:46,
29-Nov,11:25,Jan-33,B
30-Nov,8:50,923,ustime staff and 
11/3C ,9:31,11:30,Hilling staff repead 
30-Nov,11,15 pm ,
1-Dec,10:3 an ,10:59,Adult
1-Dec,10 59 ,,Adult 
1/2/02,11.45,,
2-Dec,2:06,,
12/5/16,8:40,855,Adult 
,,,
5-Dec,1115,1125,
5-Dec,10:25,,F 
5-Dec,11.3,,Hitting staff 
218,5.05,12:26,
