Date ,Time In ,Time Out ,Details 
15-Mar,9:01Am ,9:22 AM,out of buildreg 
5115,11:45,11:51,Throwing Chairs runing 
15-May,4.32,12:44,Adult 
15-May,1:50p ,2:10,
5-May,2:28,2:35,
15-May,2:35,245,
16-May,8:34,85,Hitting Staff Kicking 
16-May,6053,11:03,hitting staff 
16-May,12:52,1:10,Aduth 
16-May,2:48,250,
5117,11.33,1150,
17-May,3:12,3:18,
,2:58,3:04,Adult 
,11:36,11:59,
575,1.27,23,
19-May,12:00,1214,Adult 
