Date ,Time In ,Time Out ,Details ,
10/20/16,2:45,2:56,,
31-Oct,8:48,9:00,In add ti in be Pail ,
21-Dec,9:22,9:05,,
19/31 ,9.38,9:44,Adult ,
Oct-71,9152,10%5 ,,
,12:02,12 16 ,Advit ,
15/21 ,,,,
15/ ,8:40,9:05,Hiting student ,
24-Oct,10:20,10:40,,
24-Oct,11,12:30,,
10/By ,1:30,1:48,Kickiy ,
24-Oct,lill ,1.25,swatting start ,swatting start 
25-Oct,9:35,945,riting ,
25-Oct,11:46,11:53,,
26-Oct,10:35,10:50,hitting theory ,hitting theory 
25-Oct,Oct-57,11:08,,
25-Oct,11:29,,hitting - ,
