Date ,Time In ,Time Out ,Details 
2-Jan,9:30,10:00,kicking 
12,12:00,12:30,kicking 
8412,1:45,2:15,kicking 
13-Apr,9:45,0.660416667,
13-Apr,1015,10:24,
13-Apr,,,
13-Apr,10:53,11:14,Adult 
14/13 ,12:53,Lilo ,
24-Apr,9:20,9:28,Adult 
24-Apr,lips ,11:22a ,
24-Apr,11154,12:05,
425,8:45,9:15,
4125,10:08,10R ,
4/25 5/12 ,2:10 839 ,2:18,knowlerger orn Chris thatting  
