Date ,Time In ,Time Out ,Details 
15-Nov,8:35,8:40,
15-Nov,8:45,8.55,It 
15-Nov,11:11,11:20, 
15-Nov,9.05,9:30,
15-Jan,10:10,10:28,
15-Jan,12:35,1:00pm ,
16-Nov,845,800,
16-Nov,855,9'5 ,F 
16-Nov,9:30,qu ,
16-Nov,9:59,10:20,
16-Nov,11:15,11:45,
16-Nov,1:43,2:05,
17-Nov,,9:10am ,
17-Nov,11.006m ,11:20,
17-Nov,12:20,12:27,
18-Nov,,8:58am ,
18-Nov,9:24am ,9:38am ,
