Date ,Time In ,Time Out ,Details 
18-Nov,10:00,10:10am ,Adult 
18-Nov,10:15,,Augh 
18-Nov,11:37,,in a hold ompergent 
15-Nov,2-Jan,11:30,
18-Nov,11:35,1/4/41,
Nov-48,11:48,12:05, 
21-Nov,8:47,8:56,
21-Nov,9:30,9:40,
21-Nov,11:15,11:30,
21-Nov,12:20,12:24,
21-Nov,12:40,12:46,
1/2/ ,1:45,2:10,- 
,2:14,2:18p ,
23-Nov,11:48,,
23-Nov,12:05,12:20,student 
28-Nov,10:56,11:22,
28-Nov,11:23,11:30,TO ARVA the 1 very 
