Date ,Time In ,Time Out ,Details 
13-Mar,12:52,1:13,
13/16/17 ,10:34,10:37,
they ,10:55,11:08,
,1:04,1:11,
1-Mar,11:45,11:55,
3/17/17,8:52a. ,902,
13/17 ,10:00,10:20,
20-Mar,10:16,10:20,
20-Mar,1:21,1:38,
20-Mar,1:41,1:44,1
20-Mar,1:45,2:00,
13/21 ,9:18,9:36,
21-Mar,9:52,10:05,
21-Mar,1015,10:35,Adult 
21-Mar,1205,1217,Student 
21-Mar,1221,12:46,
21-Mar,208,2116,student 
