Date ,Time In ,Time Out ,Details 
3/1/17,1210,12:16,
3/1/17,12:16,12:26,I 
2-Mar,,,
2-Mar,,,
2-Mar,,,
312,1115,,
3-Mar,9:35am ,9.55,ran + hid 
3-Mar,11:Ra ,11:15am ,
3/6/17,12:05 PM,12:15pm Little ,
6-Mar,1:45,2:05,
7-Mar,9:40,9:58,
2-Mar,10:00,10:2C ,
7-Mar,12:40,12:56,student 
8-Mar,10:00,10:10,
8-Mar,9:45,9:50,
8-Mar,10:56,11:18,
13/13/17 ,10:46,10:56,
