Date ,Time In ,Time Out ,Details ,
31-Jan, ,11:20,,
31-Jan,11.38,11:44,,
31-Jan,1:43,,Adult ,
211,9.2,22-Sep,,
1-Feb,9:20,9.22,sereance ,
1-Feb,9:54,10:35,Adult ,
,11:26,11:45,,
2/1 21, ,12:52,Aduft ,
1-Feb,1:25,1:56,,
2-Feb,9:30a ,9:45,Adult, 
2-Feb,11:02,1133,,
1-Feb,9:12,9:28,,
3-Feb,9:30,9:45,,
3-Feb,10:26,10:44,,
6-Feb,9:10a ,, ,
All 2116 ,,11:35,,
Mar-00,24,,Auult ,
